animal_id,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,outcome_age,cat/kitten,age_group,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
A687770,1,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
A688206,1,Neutered Male,Male,Yes,3,365,4,Cat,"(2.2, 4.4]",domestic longhair,False,True,tabby,orange,none,orange,Transfer-- Partner
A667359,1,Neutered Male,Male,Yes,8,365,6,Cat,"(6.6, 8.8]",domestic shorthair,False,True,tabby,white,orange,white,Return to Owner-- 
A686388,1,Spayed Female,Female,Yes,6,30,2,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,missing,blue,none,blue,Adoption-- 
A684824,1,Intact Female,Female,No,1,30,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
A686978,0,Intact Male,Male,No,5,30,2,Kitten,"(-0.022, 2.2]",siamese,True,False,point,seal,none,seal,Transfer-- SCRP
A680663,1,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
A681042,0,Unknown,Female,Yes,2,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,blue,white,blue,Transfer-- Partner
A680414,1,Neutered Male,Male,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,blue ,white,blue ,Adoption-- Foster
A683224,0,Intact Male,Male,No,1,30,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,blue,none,blue,Euthanasia-- Suffering
A677631,0,Unknown,Female,Yes,2,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
A677077,1,Intact Male,Male,No,2,30,2,Kitten,"(-0.022, 2.2]",domestic mediumhair,False,True,tabby,orange,none,orange,Adoption-- 
A682239,1,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- Foster
A693905,0,Intact Female,Female,No,6,30,2,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,calico,Breed Specific,none,calico,Transfer-- SCRP
A680819,0,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic mediumhair,False,True,tabby,cream,none,cream,Adoption-- 
A692219,1,Spayed Female,Female,Yes,2,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,calico,Breed Specific,none,calico,Transfer-- SCRP
A688479,1,Spayed Female,Female,Yes,4,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Return to Owner-- 
A688741,1,Intact Female,Female,No,1,30,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
A664514,1,Intact Male,Male,No,3,30,2,Kitten,"(-0.022, 2.2]",manx,True,False,tabby,brown ,white,brown ,Adoption-- 
A671065,1,Neutered Male,Male,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
A678248,0,Intact Male,Male,No,1,30,1,Kitten,"(-0.022, 2.2]",domestic mediumhair,False,True,tabby,brown,none,brown,Transfer-- Partner
A670616,1,Spayed Female,Female,Yes,16,365,7,Cat,"(15.4, 17.6]",siamese,True,False,point,lynx,none,lynx,Adoption-- 
A683161,0,Neutered Male,Male,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic longhair,False,True,missing,blue,white,blue,Adoption-- 
A575091,1,Spayed Female,Female,Yes,4,365,5,Cat,"(2.2, 4.4]",siamese,True,False,point,lynx,none,lynx,Return to Owner-- 
A688074,1,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic mediumhair,False,True,calico,Breed Specific,none,calico,Adoption-- 
A664952,1,Spayed Female,Female,Yes,3,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Adoption-- Foster
A688011,1,Neutered Male,Male,Yes,3,365,4,Cat,"(2.2, 4.4]",domestic shorthair,False,True,tabby,blue,none,blue,Return to Owner-- 
A644391,1,Neutered Male,Male,Yes,6,365,5,Cat,"(4.4, 6.6]",domestic shorthair,False,True,tabby,cream,none,cream,Adoption-- 
A688552,1,Intact Male,Male,No,3,30,2,Kitten,"(-0.022, 2.2]",domestic longhair,False,True,tabby,brown,none,brown,Adoption-- Foster
A691086,0,Unknown,Female,Yes,3,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,cream,none,cream,Transfer-- Partner
A678917,1,Intact Female,Female,No,1,30,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Died-- 
A679999,0,Neutered Male,Male,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic mediumhair,False,True,tabby,orange ,white,orange ,Transfer-- SCRP
A677713,0,Intact Female,Female,No,2,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
A664638,1,Intact Female,Female,No,1,30,1,Kitten,"(-0.022, 2.2]",domestic longhair,False,True,smoke,black,none,black,Transfer-- Partner
A688558,1,Spayed Female,Female,Yes,8,30,3,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
A689477,1,Spayed Female,Female,Yes,9,30,3,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
