age_upon_outcome,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,cat/kitten,age_group,outcome_weekday,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
4 months,1,Spayed Female,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,cream,none,cream,Adoption-- 
4 months,1,Spayed Female,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- Foster
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange,none,orange,Rto-Adopt-- 
11 months,0,Intact Female,Female,No,11,30,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,white,black,Transfer-- SCRP
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- 
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,white,brown,white,Transfer-- Partner
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
3 weeks,0,Unknown,Female,Yes,3,7,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
11 years,1,Spayed Female,Female,Yes,11,365,Cat,"(8.8, 11.0]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
6 months,1,Spayed Female,Female,Yes,6,30,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown ,white,brown ,Return to Owner-- 
2 months,0,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Sunday,domestic longhair,False,True,tortie,Breed Specific,none,tortie,Transfer-- SCRP
2 months,0,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
4 months,1,Neutered Male,Male,Yes,4,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic mediumhair,False,True,tabby,orange,none,orange,Adoption-- Foster
4 weeks,0,Intact Female,Female,No,4,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Euthanasia-- Suffering
1 year,1,Unknown,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,american shorthair,True,False,tabby,gray ,white,gray ,Transfer-- Snr
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
1 year,0,Unknown,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,white,gray,white,Transfer-- SCRP
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Sunday,domestic mediumhair,False,True,tabby,brown,none,brown,Transfer-- SCRP
3 months,0,Intact Male,Male,No,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,point,white,chocolate,white,Transfer-- SCRP
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
1 month,0,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,orange,white,orange,Transfer-- Partner
