Rule,Entropy across targets,Length Following Antecedent,Majority Class
"[('Breed', 'Cocker Spaniel Mix')]",[1.21666429 0.79721049],141,['Return to Owner' 'none']
"[('Breed', 'Australian Cattle Dog')]",[1.0770064 1.0601144],479,['Adoption' 'none']
"[('Breed', 'Shih Tzu')]",[1.0352222  0.88572113],260,['Transfer' 'Partner']
"[('Breed', 'American Staffordshire Terrier Mix')]",[1.25893913 0.94714679],277,['Adoption' 'none']
"[('Breed', 'Chicken')]",[1.27994927 1.18885137],176,['Adoption' 'none']
"[('Breed', 'Raccoon')]",[0.42987214 1.14203952],724,['Euthanasia' 'Rabies Risk']
"[('Breed', 'Maltese Mix')]",[1.17378589 0.88993571],223,['Adoption' 'none']
"[('Breed', 'Domestic Longhair Mix')]",[1.15818146 1.54607101],1520,['Adoption' 'none']
"[('Breed', 'Dachshund Mix')]",[1.15635724 0.9810377 ],1064,['Adoption' 'none']
"[('Breed', 'Pekingese Mix')]",[1.08637471 0.8155673 ],88,['Transfer' 'none']
"[('Breed', 'Pit Bull')]",[1.26719278 1.08580652],2961,['Adoption' 'none']
"[('Breed', 'Chihuahua Shorthair/Dachshund')]",[1.03452732 0.91145373],401,['Adoption' 'none']
"[('Breed', 'Manx Mix')]",[0.95792883 1.43641001],101,['Adoption' 'none']
"[('Breed', 'Pomeranian')]",[1.15508791 0.82380444],84,['Return to Owner' 'none']
"[('Breed', 'Rottweiler Mix')]",[1.28033955 0.96027123],456,['Adoption' 'none']
"[('Breed', 'Great Pyrenees/Labrador Retriever')]",[1.11376256 0.78195911],84,['Adoption' 'none']
"[('Breed', 'Border Collie Mix')]",[1.0669091  0.96633676],1025,['Adoption' 'none']
"[('Breed', 'Labrador Retriever/Pit Bull')]",[1.21861182 1.01920923],451,['Adoption' 'none']
"[('Breed', 'Miniature Schnauzer')]",[1.22529405 0.95324934],162,['Return to Owner' 'none']
"[('Breed', 'Pit Bull/Labrador Retriever')]",[1.26125854 1.09264771],261,['Adoption' 'none']
"[('Breed', 'Great Pyrenees Mix')]",[1.14306736 1.05119337],688,['Adoption' 'none']
"[('Breed', 'Raccoon Mix')]",[0.33016315 1.2058957 ],488,['Euthanasia' 'Rabies Risk']
"[('Breed', 'Pug Mix')]",[1.11965105 0.88457692],154,['Return to Owner' 'none']
"[('Breed', 'Opossum')]",[0.68191057 1.68778262],167,['Euthanasia' 'Suffering']
"[('Breed', 'Pug')]",[0.94845501 0.79469837],157,['Transfer' 'Partner']
"[('Breed', 'Anatol Shepherd Mix')]",[1.01247796 0.95575446],483,['Adoption' 'none']
"[('Breed', 'Beagle Mix')]",[1.15614564 0.9586409 ],599,['Adoption' 'none']
"[('Breed', 'Miniature Poodle Mix')]",[1.20666629 0.86407816],834,['Adoption' 'none']
"[('Breed', 'Rabbit Sh')]",[1.110011   1.12962423],265,['Adoption' 'none']
"[('Breed', 'Rat Terrier Mix')]",[1.23397657 0.90989912],648,['Adoption' 'none']
"[('Breed', 'Siamese Mix')]",[1.11733528 1.54605207],1324,['Adoption' 'none']
"[('Breed', 'Domestic Medium Hair Mix')]",[1.08795198 1.60503278],3032,['Adoption' 'none']
"[('Breed', 'Beagle')]",[1.11393395 0.828054  ],154,['Return to Owner' 'none']
"[('Breed', 'Cairn Terrier Mix')]",[1.10172293 0.90006906],539,['Adoption' 'none']
"[('Breed', 'English Bulldog Mix')]",[1.21423773 0.84121042],99,['Return to Owner' 'none']
"[('Breed', 'Norfolk Terrier Mix')]",[1.0884174  0.83410645],115,['Adoption' 'none']
"[('Breed', 'Yorkshire Terrier Mix')]",[1.22975214 0.95548115],622,['Adoption' 'none']
"[('Breed', 'Australian Kelpie Mix')]",[1.03241682 0.98740268],418,['Adoption' 'none']
"[('Breed', 'Australian Shepherd Mix')]",[1.16783715 1.12362889],782,['Adoption' 'none']
"[('Breed', 'Vizsla Mix')]",[0.91431716 0.52606461],66,['Adoption' 'none']
"[('Breed', 'Collie Smooth Mix')]",[0.99357506 1.04403975],115,['Adoption' 'none']
"[('Breed', 'Labrador Retriever/Pointer')]",[1.05946636 0.96308413],79,['Adoption' 'none']
"[('Breed', 'Snowshoe Mix')]",[0.91126318 1.3789406 ],213,['Adoption' 'none']
"[('Breed', 'Boston Terrier Mix')]",[1.09866762 0.65095948],121,['Return to Owner' 'none']
